time,events,alg1,alg2,latecny1,latecny2,model updating
0,0,0,0,0,0,
1,0,0,0,0,0,
2,0,0,0,0,0,
3,0,0,0,0,0,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,0,0,0,0,0,
7,0,0,0,0,0,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,0,0,0,0,0,
13,0,0,0,0,0,
14,0,0,0,0,0,
15,0,0,0,0,0,
16,0,0,0,0,0,
17,0,0,0,0,0,
18,0,0,0,0,0,
19,0,0,0,0,0,
20,0,0,0,0,0,
21,0,0,0,0,0,
22,0,0,0,0,0,
23,0,0,0,0,0,
24,0,0,0,0,0,
25,0,0,0,0,0,
26,0,0,0,0,0,
27,0,0,0,0,0,
28,0,0,0,0,0,
29,0,0,0,0,0,
30,0,0,0,0,0,
31,0,0,0,0,0,
32,0,0,0,0,0,
33,0,0,0,0,0,
34,0,0,0,0,0,
35,0,0,0,0,0,
36,0,0,0,0,0,
37,0,0,0,0,0,
38,1,0,0,1,1,
39,1,0,0,2,2,
40,1,0,0,3,3,
41,1,0,0,4,4,
42,1,0,0,5,5,
43,1,0,0,6,6,
44,1,0,0,7,7,
45,1,0,1,8,8,
46,1,0,1,9,8,
47,1,0,1,10,8,
48,1,1,1,11,8,
49,1,1,1,11,8,
50,1,1,1,11,8,
51,1,1,1,11,8,
52,1,1,1,11,8,
53,1,1,1,11,8,
54,1,1,1,11,8,
55,1,1,1,11,8,
56,1,1,1,11,8,
57,1,1,1,11,8,
58,1,1,1,11,8,
59,1,1,1,11,8,
60,1,1,1,11,8,
61,1,1,1,11,8,
62,1,1,1,11,8,
63,1,1,1,11,8,
64,1,1,1,11,8,
65,1,1,1,11,8,
66,1,1,1,11,8,
67,1,1,1,11,8,
68,1,1,1,11,8,
69,1,1,1,11,8,
70,1,1,1,11,8,
71,1,1,1,11,8,
72,1,1,1,11,8,
73,1,1,1,11,8,
74,1,1,1,11,8,
75,1,1,1,11,8,
76,1,1,1,11,8,
77,1,1,1,11,8,
78,1,1,1,11,8,
79,1,1,1,11,8,
80,1,1,1,11,8,
81,1,1,1,11,8,
82,1,1,1,11,8,
83,1,1,1,11,8,
84,1,1,1,11,8,
85,1,1,1,11,8,
86,1,1,1,11,8,
87,1,1,1,11,8,
88,1,1,1,11,8,
89,0,1,1,12,9,
90,0,1,1,13,10,
91,0,1,1,14,11,
92,0,1,1,15,12,
93,0,1,0,16,13,
94,0,1,0,17,13,
95,0,1,0,18,13,
96,0,0,0,19,13,
97,0,0,0,19,13,
98,0,0,0,19,13,
99,0,0,0,19,13,
100,0,0,0,19,13,
101,0,0,0,19,13,
102,0,0,0,19,13,
103,0,0,0,19,13,
104,0,0,0,19,13,
105,0,0,0,19,13,
106,0,0,0,19,13,
107,0,0,0,19,13,
108,0,0,0,19,13,
109,0,0,0,19,13,
110,0,0,0,19,13,
111,0,0,0,19,13,
112,0,0,0,19,13,
113,0,0,0,19,13,
114,0,0,0,19,13,
115,0,0,0,19,13,
116,0,0,0,19,13,
117,0,0,0,19,13,
118,0,0,0,19,13,
119,0,0,0,19,13,
120,0,0,0,19,13,
121,0,0,0,19,13,
122,0,0,0,19,13,
123,0,0,0,19,13,
124,0,0,0,19,13,
125,0,0,0,19,13,
126,0,0,0,19,13,
127,0,0,0,19,13,
128,0,0,0,19,13,
129,0,0,0,19,13,
130,0,0,0,19,13,
131,0,0,0,19,13,
132,0,0,0,19,13,
133,3,0,0,20,14,
134,3,0,0,21,15,
135,3,0,0,22,16,
136,3,0,0,23,17,
137,3,0,0,24,18,
138,3,0,3,25,19,
139,3,0,3,26,19,
140,3,0,3,27,19,
141,3,0,3,28,19,
142,3,0,3,29,19,
143,3,0,3,30,19,
144,3,3,3,31,19,6
145,3,3,3,31,19,6
146,3,3,3,31,19,6
147,3,3,3,31,19,6
148,3,3,3,31,19,6
149,3,3,3,31,19,6
150,3,3,3,31,19,6
151,3,3,3,31,19,6
152,3,3,3,31,19,6
153,3,3,3,31,19,6
154,3,3,3,31,19,6
155,3,3,3,31,19,6
156,3,3,3,31,19,6
157,3,3,3,31,19,6
158,3,3,3,31,19,6
159,3,3,3,31,19,6
160,3,3,3,31,19,6
161,3,3,3,31,19,6
162,3,3,3,31,19,6
163,3,3,3,31,19,6
164,3,3,3,31,19,6
165,3,3,3,31,19,6
166,3,3,3,31,19,6
167,3,3,3,31,19,6
168,3,3,3,31,19,6
169,3,3,3,31,19,6
170,3,3,3,31,19,6
171,3,3,3,31,19,6
172,3,3,3,31,19,6
173,3,3,3,31,19,6
174,3,3,3,31,19,6
175,3,3,3,31,19,6
176,3,3,3,31,19,6
177,3,3,3,31,19,6
178,3,3,3,31,19,6
179,3,3,3,31,19,6
180,3,3,3,31,19,6
181,3,3,3,31,19,6
182,3,3,3,31,19,6
183,3,3,3,31,19,6
184,3,3,3,31,19,6
185,3,3,3,31,19,6
186,3,3,3,31,19,6
187,3,3,3,31,19,6
188,3,3,3,31,19,6
189,3,3,3,31,19,6
190,3,3,3,31,19,6
191,0,3,3,32,20,6
192,0,3,3,33,21,6
193,0,3,3,34,22,6
194,0,3,3,35,23,6
195,0,3,3,36,24,6
196,0,3,3,37,25,6
197,0,3,3,38,26,6
198,0,3,0,39,27,6
199,0,3,0,40,27,6
200,0,3,0,41,27,6
201,0,3,0,42,27,6
202,0,3,0,43,27,6
203,4,3,0,44,28,6
204,4,3,0,45,29,6
205,4,3,0,46,30,6
206,4,3,0,47,31,6
207,4,3,0,48,32,6
208,4,3,0,49,33,6
209,4,3,0,50,34,6
210,4,3,0,51,35,
211,4,4,0,52,36,
212,4,4,0,52,37,6
213,4,4,4,52,38,6
214,4,4,4,52,38,6
215,4,4,4,52,38,6
216,4,4,4,52,38,6
217,4,4,4,52,38,6
218,4,4,4,52,38,6
219,4,4,4,52,38,6
220,4,4,4,52,38,6
221,4,4,4,52,38,6
222,4,4,4,52,38,6
223,4,4,4,52,38,6
224,4,4,4,52,38,6
225,4,4,4,52,38,6
226,4,4,4,52,38,6
227,4,4,4,52,38,6
228,4,4,4,52,38,6
229,4,4,4,52,38,6
230,4,4,4,52,38,6
231,4,4,4,52,38,6
232,4,4,4,52,38,6
233,4,4,4,52,38,6
234,0,4,4,53,39,6
235,0,4,4,54,40,6
236,0,4,4,55,41,6
237,0,4,4,56,42,6
238,0,4,4,57,43,6
239,0,4,4,58,44,6
240,0,4,4,59,45,6
241,0,4,0,60,46,6
242,0,4,0,61,46,6
243,0,4,0,62,46,6
244,0,4,0,63,46,6
245,0,4,0,64,46,6
246,0,4,0,65,46,6
247,0,4,0,66,46,6
248,0,4,0,67,46,6
249,0,4,0,68,46,6
250,0,4,0,69,46,6
251,0,4,0,70,46,6
252,0,4,0,71,46,6
253,0,4,0,72,46,6
254,0,4,0,73,46,6
255,0,4,0,74,46,6
256,0,4,0,75,46,6
257,0,4,0,76,46,6
258,0,4,0,77,46,6
259,0,4,0,78,46,6
260,0,4,0,79,46,6
261,0,4,0,80,46,6
262,0,4,0,81,46,6
263,0,4,0,82,46,6
264,0,4,0,83,46,6
265,0,4,0,84,46,6
266,0,4,0,85,46,6
267,0,4,0,86,46,6
268,0,4,0,87,46,6
269,0,4,0,88,46,6
270,0,0,0,89,46,
271,0,0,0,89,46,
272,0,0,0,89,46,
273,0,0,0,89,46,
274,0,0,0,89,46,
275,0,0,0,89,46,
276,0,0,0,89,46,
277,0,0,0,89,46,
278,0,0,0,89,46,
279,0,0,0,89,46,
280,0,0,0,89,46,
281,0,0,0,89,46,
282,0,0,0,89,46,
283,0,0,0,89,46,
284,0,0,0,89,46,
285,0,0,0,89,46,
286,0,0,0,89,46,
287,0,0,0,89,46,
288,0,0,0,89,46,
289,0,0,0,89,46,
290,0,0,0,89,46,
291,0,0,0,89,46,
292,0,0,0,89,46,
293,0,0,0,89,46,
294,0,0,0,89,46,
295,0,0,0,89,46,
296,0,0,0,89,46,
297,0,0,0,89,46,
298,0,0,0,89,46,
299,0,0,0,89,46,
300,0,0,0,89,46,
301,0,0,0,89,46,
302,0,0,0,89,46,
303,0,0,0,89,46,
304,0,0,0,89,46,
305,0,0,0,89,46,
306,0,0,0,89,46,
307,0,0,0,89,46,
308,0,0,0,89,46,
309,0,0,0,89,46,
310,0,0,0,89,46,
311,0,0,0,89,46,
312,0,0,0,89,46,
313,0,0,0,89,46,
314,2,0,0,90,47,
315,2,0,0,91,48,
316,2,0,2,92,49,
317,2,0,2,93,49,
318,2,2,2,94,49,
319,2,2,2,94,49,
320,2,2,2,94,49,
321,2,2,2,94,49,
322,2,2,2,94,49,
323,2,2,2,94,49,
324,2,2,2,94,49,
325,2,2,2,94,49,
326,2,2,2,94,49,
327,2,2,2,94,49,
328,2,2,2,94,49,
329,2,2,2,94,49,
330,2,2,2,94,49,
331,2,2,2,94,49,
332,2,2,2,94,49,
333,2,2,2,94,49,
334,2,2,2,94,49,
335,2,2,2,94,49,
336,2,2,2,94,49,
337,2,2,2,94,49,
338,2,2,2,94,49,
339,2,2,2,94,49,
340,2,2,2,94,49,
